Moisture,Volatile_matter,Fixed_Carbon,Std.Ash,Hydrogen,Carbon,Nitrogen,Oxygen,Sulfur,GCV_kcal
9.0,32.0,49.4,9.6,5.3,62.9,1.5,20.1,0.6,5562.913802633562
30.5,29.4,34.6,5.5,6.7,47.4,0.9,39.2,0.3,3105.269373644817
24.55,34.67,26.94,13.84,5.97,44.59,0.91,33.92,0.77,3214.851757918785
34.3,26.1,31.1,8.5,6.7,41.3,0.4,42.6,0.5,2548.88758734216
18.15,31.89,45.86,4.1,5.88,59.13,1.67,28.27,0.95,4636.451085338666
11.2,30.9,44.8,13.1,5.1,58.3,1.1,22.1,0.3,4849.7773279610365
24.71,34.88,31.73,8.68,6.06,48.93,1.07,34.1,1.16,3432.860994779439
15.9,33.11,46.26,4.73,5.91,60.8,1.24,26.29,1.03,4917.057342286401
17.43,35.59,42.15,4.83,5.71,59.47,1.53,27.67,0.79,4699.283237272002
21.32,29.56,46.61,2.51,6.1,59.12,1.0,31.15,0.12,4452.084485334054
30.9,27.72,35.09,6.29,6.53,46.31,0.64,39.66,0.57,3055.540697104299
21.44,30.57,45.43,2.56,6.27,58.91,0.92,31.26,0.08,4399.098834447366
20.26,30.75,45.15,3.84,6.12,57.62,1.31,30.23,0.88,4411.587069074832
22.86,32.3,43.15,1.69,6.47,58.31,0.86,32.55,0.12,4311.869185274535
10.3,39.4,40.5,9.8,5.7,61.0,1.4,21.4,0.7,5322.065592965469
17.51,29.81,46.39,6.29,5.82,58.39,1.35,27.81,0.34,4608.606544962699
21.18,31.14,45.62,2.06,6.04,59.73,0.99,31.07,0.11,4476.2440395110525
31.52,28.79,35.14,4.55,6.69,46.93,1.05,40.26,0.52,3019.358987412177
17.51,30.57,47.04,4.88,5.66,59.49,1.23,27.83,0.91,4725.417965834394
25.8,34.0,34.1,6.1,6.4,51.0,0.6,35.2,0.7,3603.546781081755
12.4,39.2,39.6,8.8,5.7,59.7,1.3,23.3,1.2,5080.867569592237
15.1,32.9,42.77,9.23,5.7,57.03,1.36,25.7,0.98,4742.316093521166
15.2,37.4,37.1,10.3,5.5,56.3,1.2,25.8,0.9,4607.319342307665
15.8,31.44,43.03,9.73,5.72,56.31,1.1,26.34,0.8,4613.538440513373
24.91,31.84,35.78,7.47,6.23,50.03,1.16,34.44,0.67,3544.642636273722
17.99,33.6,39.71,8.7,5.67,54.44,1.59,28.3,1.3,4315.982472329843
19.41,34.69,41.71,4.19,6.06,58.1,1.53,29.59,0.53,4466.26943346594
16.35,31.08,44.37,8.2,5.83,57.37,1.11,26.89,0.6,4635.853554996801
32.8,29.2,32.2,5.8,6.8,44.8,0.7,41.5,0.4,2834.631441095025
19.4,31.8,42.3,6.5,5.9,56.0,1.5,29.6,0.5,4306.663777729935
12.3,33.5,47.2,7.0,5.6,62.5,1.1,23.3,0.5,5266.724348274622
23.75,28.24,45.98,2.03,6.11,57.62,0.67,33.48,0.09,4137.675201731511
32.2,29.5,29.6,8.7,6.7,42.6,0.6,41.0,0.4,2713.214440718154
17.35,34.55,41.85,6.25,5.67,58.1,1.48,27.82,0.68,4578.119597460474
17.94,35.94,34.27,11.85,5.66,51.76,1.52,28.35,0.86,4110.007359552363
22.0,32.92,43.28,1.8,6.43,58.8,0.89,31.96,0.12,4404.558455237172
21.7,33.6,38.5,6.2,6.4,53.6,1.2,31.7,0.9,4072.1077698321633
17.62,34.67,44.37,3.34,6.13,60.49,1.61,28.08,0.35,4740.53646705102
16.4,31.3,47.5,4.8,6.0,60.6,1.2,27.0,0.4,4884.981410334492
32.5,28.7,32.9,5.9,6.6,45.1,0.4,41.3,0.7,2839.793187609105
18.13,31.29,45.0,5.58,5.86,57.18,1.68,28.54,1.16,4513.545021694377
18.87,35.6,42.49,3.04,6.18,59.61,1.64,29.2,0.33,4626.740449393776
15.6,33.1,44.8,6.5,5.9,59.0,1.0,26.3,1.3,4875.092538025185
10.6,37.4,47.6,4.4,5.9,65.6,1.5,21.9,0.7,5711.234288151943
11.6,33.3,42.8,12.3,5.5,56.2,1.6,22.8,1.6,4888.311569452881
26.64,32.75,36.89,3.72,6.46,52.2,1.11,36.17,0.34,3616.453996798542
18.24,36.91,40.11,4.74,5.74,58.59,1.48,28.72,0.73,4558.746622600131
23.36,28.13,46.61,1.9,6.08,57.75,0.88,33.27,0.12,4177.61609032452
18.1,33.0,39.6,9.3,5.6,54.3,1.6,28.6,0.6,4257.037804926417
10.1,37.2,46.4,6.3,5.6,64.4,1.6,21.5,0.6,5563.547532460032
31.6,29.7,32.7,6.0,6.7,45.5,0.7,40.6,0.5,2957.3469057111147
35.3,27.8,33.3,3.6,6.8,44.8,0.7,43.9,0.2,2704.006900223187
20.1,32.72,45.34,1.84,6.43,59.42,1.22,30.41,0.68,4619.559327672048
35.5,26.8,32.1,5.6,6.9,42.6,0.4,44.1,0.4,2570.383314692589
20.21,31.81,45.19,2.79,6.16,59.19,1.09,30.55,0.22,4561.413298858287
24.65,30.37,42.99,1.99,6.38,56.42,0.59,34.5,0.12,4007.756593801713
14.4,34.0,40.2,11.4,5.4,55.8,1.2,25.4,0.8,4607.554552973067
18.9,33.5,42.4,5.2,6.1,57.4,1.4,29.4,0.5,4483.260013623683
29.63,32.15,33.9,4.32,6.33,49.54,0.74,38.93,0.14,3269.898288265164
16.5,34.81,43.95,4.74,5.6,60.38,1.52,27.28,0.48,4772.086016077755
34.2,27.3,33.8,4.7,6.8,44.7,0.6,43.0,0.2,2713.458452854971
16.16,36.13,41.33,6.38,5.85,58.8,1.33,26.99,0.65,4721.255985265452
24.81,32.79,36.09,6.31,6.13,51.68,0.87,34.68,0.33,3600.645192715572
21.1,33.1,40.0,5.8,6.2,55.0,1.0,31.4,0.6,4186.476234234855
29.2,31.7,35.6,3.5,6.8,50.0,0.7,38.6,0.4,3391.198834546572
16.7,36.5,42.8,4.0,6.2,60.1,0.9,27.5,1.3,4868.367915306751
